ZZ 2e 2jet Invariant masses (eV),Leptoquark electron Invariant masses (eV)
1320.894598,8883.273067
616.4161807,3446.902149
643.410776,7631.670597
1019.008815,1083.229311
36.47036878,2776.397558
341.7043877,1372.493776
1082.318487,1455.758189
2216.440219,244.6002162
4000.094817,871.8536315
656.9707488,11974.30971
933.6706497,1474.756449
285.2237503,11885.9209
1215.821522,1019.383516
517.8862328,3293.622477
4432.236733,2433.89167
1364.710445,3213.506888
349.2442304,1842.198516
408.1974172,83.98245254
289.56662,4784.631337
859.3824576,5591.457154
395.5343121,2039.972378
227.9141022,15565.45723
563.6419382,7277.742408
297.7556177,3023.044897
1070.656703,4208.377055
416.6749234,3198.574854
720.3212633,3162.913915
912.5103027,2225.208772
597.090255,2338.178842
291.1157819,5473.320149
541.2583503,4155.417735
495.5796641,608.874059
355.0570663,4421.844413
280.5895056,50066.73643
1387.860105,481.6265141
1713.768703,4272.867599
639.8182236,3281.97459
542.3505111,3581.882635
1146.248488,2015.434377
16.04581136,1762.600184
702.0135772,1378.675047
310.1108725,1553.600545
1136.769505,1302.200627
1346.84319,345.7717401
848.1751391,5951.258524
397.4210796,2148.165867
123.9595252,1548.130326
105.6787402,1897.842929
103.4702747,8074.719544
326.7530645,17339.64326
253.5808038,3828.307459
914.1264637,4039.327415
498.5156532,1112.137279
558.8676934,14653.78347
814.1087983,191.0378752
483.0424825,1162.939406
132.4791412,1005.738662
824.7441034,2120.569918
339.5658754,3585.959081
87.42336114,1649.154229
809.1713768,11293.50316
483.0898578,16818.63645
948.2020616,3666.562647
535.4251889,7915.646133
150.9964331,1319.479099
496.5631094,2741.751452
694.556523,1590.834828
316.0763057,218.1386396
1171.698827,7559.966178
1882.240018,2698.307557
752.6566578,1573.298985
486.2146753,721.1489792
350.0461332,2899.653957
1543.942359,25545.51639
40.88495996,13487.69265
196.3752575,103.198485
1006.2758,2282.514113
432.5838606,15173.46287
450.628225,1782.844161
830.1160008,1156.518568
1388.806623,2737.39208
403.1179189,9999.40797
4280.582625,3894.146255
895.8487835,6296.022985
1637.432588,2708.506571
111.7630075,13931.99881
141.4581232,3486.390283
5193.927938,313.365672
1000.158869,3490.575694
572.2031047,3329.413147
6261.713501,6994.638988
958.675189,235.0812165
1821.569985,5051.806865
2313.836403,1676.067209
743.4544421,1513.705974
502.8752391,560.2209956
884.9497747,4835.287808
412.0973251,1663.38869
394.448951,1705.280498
128.2681961,1133.25403
1160.122822,226.3311723
1644.781528,1577.287911
2852.735935,1670.036647
1.990620607,818.3590118
1718.411575,2555.965203
2593.794177,1884.202879
2281.302582,689.5465261
672.988229,7239.054753
1264.864931,4182.769391
897.1627566,1278.953218
1074.654048,1087.552125
372.7451117,2642.112297
379.8922894,2663.94451
141.7725126,7825.53924
516.0861288,2449.200771
125.8198847,858.9602999
1814.509761,1952.436719
1314.049277,1588.345381
1049.57213,1262.352181
1105.844742,869.3819714
1062.755725,1709.448137
628.5735795,24487.38664
117.8879234,1020.530476
328.1187336,1732.89396
1071.928545,5676.423646
1065.999107,2707.587887
1674.5135,6610.80587
294.6033391,253.8274998
621.7511541,2335.080729
567.0297388,24420.15669
1866.608364,3657.844039
1108.604039,3449.434016
339.7621991,2256.747916
487.4300488,1090.653831
553.5887003,928.7257422
326.1818662,747.4379883
232.086139,5831.87911
96.41298795,677.8357839
1985.535517,2549.49498
206.0417954,1935.898644
484.8669289,3264.540447
388.8334364,1768.492356
905.099417,1783.050758
120.3111413,3446.566121
1232.527393,13055.93118
295.3104562,1224.952563
614.1011497,3628.462928
516.2427551,18163.83966
1344.203833,8487.706678
5503.628699,2336.56629
839.1734607,8202.074194
625.6473491,445.049616
1819.451382,3366.054636
739.2069364,3381.321307
402.7945319,9407.725346
1655.309734,18367.94022
