pT (GeV) Signal,pT (GeV) Background)
52.1186,127.538
156.65,58.3078
1154.18,171.406
373.592,1028.44
23.0798,11.353
25.8963,19.1276
1381.46,142.809
249.19,158.578
52.5347,111.906
184.798,35.2514
1552.11,255.601
168.245,51.1202
182.578,13.5349
195.661,45.7109
267.954,179.834
319.122,179.834
143.486,21.7927
25.9327,2.40893
1196.08,0.657164
1188.18,0.195179
3.27712,62.49
190.509,118.739
284.844,1.64116
679.404,4.51597
75.6936,11.2785
52.9495,7.51899
711.442,11.2333
491.102,98.7351
44.0068,10.9271
172.259,1236.61
22.2838,247.322
9.31321,3.26006
504.954,190.176
239.239,502.397
55.9157,2003.92
33.9365,61.2276
512.673,32.0358
335.17,3.47359
197.251,699.067
195.874,43.6917
488.987,21.4423
470.424,52.6234
66.3231,253.812
52.6256,50.7624
1726.68,84.1866
3208.12,25.8106
84.7534,2.49709
126.811,0.909936
0.419709,65.287
0.434594,248.783
253.991,19.4338
362.975,63.0331
74.3246,377.2
175.468,377.2
2002.5,62.3988
295.728,22.7877
147.301,46.5538
135.394,325.877
1287.3,19.5678
755.777,99.8705
377.615,86.1174
127.906,775.056
237.62,25.8784
1365.47,41.8795
77.7918,80.9227
132.708,728.305
694.383,58.0768
478.213,40.4274
105.627,122.981
4.46629,106.342
0.309264,26.1571
0.251096,38.9582
351.065,1.12274
483.558,0.110666
48.998,306.887
55.1583,54.5318
1531.53,70.7592
2025.94,30.9718
180.934,200.436
76.5889,66.8119
807.96,122.323
1279.46,136.989
63.7305,48.2427
16.5926,511.316
108.782,35.5099
1486.24,23.6748
140.1,193.747
204.3,72.655
1086.49,21.651
264.544,54.7571
282.903,151.181
205.624,37.7951
167.222,45.3449
867.633,22.4589
153.54,331.853
96.846,47.0749
804.013,56.657
1603.6,35.3264
116.641,10.0179
117.828,50.0895
249.45,98.7525
482.159,46.9198
234.6,351.865
220.823,179.955
1806.12,51.4926
862.077,14.224
159.468,55.3171
369.102,215.164
1501.08,57.3521
126.621,42.7627
65.0067,150.12
167.623,78.2319
730.734,35.0702
337.145,72.1092
179.501,103.828
8.92882,276.874
537.532,9.15212
3100.79,50.7244
152.581,385.546
